Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name
Supply Chain Visibility,E2E SC transparency,2017,Existing,https://slync.io,AI-enabled software solutions for supply chain visibility and traceability,Series A,11900000,North America,United States,Slync
Managing Safety Risks,Inspection robotics alt,2013,Existing,https://dronedeploy.com,Smart multiple drone management platform,Series D,91120000,North America,United States,DroneDeploy
Managing Safety Risks,Crew Safety,2015,Existing,https://scanreach.com,Provider of IoT based wireless connectivity solution for the maritime industry,Funded,0,Europe,Norway,ScanReach
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2015,Emerging,https://e-odyn.com,Data set provider to manage ocean dynamics,Seed,657084,Europe,France,eOdyn
Agile and adaptive logistic network,Predictive Maintinance,2015,Existing,https://arundo.com,Bigdata analytics for asset heavy industries,Series A,32600000,North America,United States,Arundo Analytics
AI Enabled Prediction,Trade Data Analytics,2011,Distant,https://bluewaterreporting.com,Reporting on ship and marine data,Unfunded,0,North America,United States,BlueWater Reporting
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2012,Emerging,https://cargosense.com,Provider of AI-enabled analytics services for supply chain networks,Series A,10122470,North America,United States,CargoSense
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2016,Existing,https://nautiluslabs.co,Big data analytics for maritime vessel operations,Series A,14500000,North America,United States,Nautilus Labs
Supply Chain Visibility,E2E SC transparency,2015,Existing,https://clearmetal.com,Analytics platform for container shipping industry,Series B,31000000,North America,United States,Clear Metal
Agile and adaptive logistic network,Predictive Maintinance,2013,Existing,https://sparkcognition.com,Provider of AI-based predictive analytics solution,Series C,175000000,North America,United States,SparkCognition
Supply Chain Visibility,Digitized paper trail,2014,Emerging,https://skuchain.com,Blockchain-based SCM solution for B2B commerce,Seed,0,North America,United States,Skuchain
Managing Safety Risks,Inspection robotics alt,2015,Existing,https://h3dynamics.com,Provides aerial inspection services using drones,Series B,7000000,Asia & the Pacific,Singapore,H3 Dynamics
Supply Chain Visibility,E2E SC transparency,2012,Distant,https://paradynsystems.com,Mining Supply Chain Optimization,Unfunded,0,Asia & the Pacific,Australia,Paradyn
Supply Chain Visibility,Real-time tracking of goods,2012,Distant,https://stockpilereports.com,Automated stockpile inventory management software,Unfunded,0,North America,United States,Stockpile Reports
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2013,Existing,https://akselos.com,Saas-based operational simulation and predictive analytics platform,Series A,12200000,Europe,Switzerland,Akselos
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2017,Existing,https://www.docktech.net/,Water depth analysis platform,Seed,0,MENA,Israel,DockTech
Supply Chain Visibility,Real-time tracking of goods,2012,Emerging,https://vesselfinder.com,AIS vessel data solutions,Unfunded,0,Europe,Bulgaria,VesselFinder
Supply Chain Visibility,Real-time tracking of goods,2013,Emerging,https://skycatch.com,Autonomous drone and an image processing platform,Series B,45670089,North America,United States,Skycatch
Supply Chain Visibility,Real-time tracking of goods,2013,Emerging,https://aus.co.in,Quadrotor drone system for various purposes,Seed,814923,Asia & the Pacific,India,AUS
Agile and adaptive logistic network,Predictive Maintinance,2011,Existing,https://pix4d.com,Cloud based UAV mapping software,Seed,2431932,Europe,Switzerland,Pix4D
Managing Safety Risks,Crew Safety,2012,Existing,https://rombit.be,IoT based solution for maritime operation management,Series B,0,Europe,Belgium,rombit
Managing Safety Risks,Inspection robotics alt,2014,Existing,https://skydio.com/,Develops an autonomous consumer drone based on a proprietary autonomy and obstacle avoidance engine,Series C,170000000,North America,United States,Skydio
AI Enabled Prediction,Trade Data Analytics,2016,Emerging,https://xportmine.com,Upcoming online platform for global shipment and customs data,Unfunded,0,Asia & the Pacific,India,Xportmine
AI Enabled Prediction,Trade Data Analytics,2015,Emerging,https://importradar.com,Shipping activity tracking platform,Unfunded,0,Europe,Spain,Import Radar
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2015,Emerging,https://eesea.com,Intelligence platform for the global container transport eco-system,Funded,0,MENA,United Arab Emirates,eeSea
AI Enabled Prediction,Trade Data Analytics,2012,Existing,https://ocean-insights.com,Provides data and intelligence for the ocean freight industry,Funded,0,Asia & the Pacific,China,Ocean Insights
AI Enabled Prediction,Trade Data Analytics,2015,Existing,https://logcomex.com,Analytics solution for the logistics industry,Seed,604547,Latin America and the Caribbean,Brazil,LogComex
Supply Chain Visibility,Real-time tracking of goods,2018,Existing,https://next4.io,Provides solutions for tracking maritime containers,Funded,0,Europe,France,NEXT4
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2014,Distant,https://matchbacksystems.com,Software solutions for container demand and supply matching,Unfunded,0,North America,United States,Matchback Systems
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2019,Distant,https://matchlog.delivery,Provides an integrated match back optimization solutions,Unfunded,0,Asia & the Pacific,India,MatchLog
Agile and adaptive logistic network,Predictive Maintinance,2014,Emerging,https://abysssolutions.co,Big data enabled solutions for underwater surveying,Seed,1000000,Asia & the Pacific,Australia,Abyss Solutions
AI Enabled Prediction,Trade Data Analytics,2015,Distant,https://freightalia.com,Cloud based quoting and rate management software,Unfunded,0,Europe,Spain,Freightalia
AI Enabled Prediction,Trade Data Analytics,2015,Distant,https://aquaplot.com,Online software for sea route and distance calculation,Unfunded,0,Europe,Germany,Aquaplot
Supply Chain Visibility,E2E SC transparency,2012,Emerging,https://maritrace.com,Vessel tracking and maritime intelligence solutions provider,Unfunded,0,Europe,United Kingdom,MariTrace
AI Enabled Prediction,Trade Data Analytics,2015,Emerging,https://freightreport.net,Software solution for sea freight estimation,Unfunded,0,North America,United States,Freight Report
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2019,Distant,https://quantship.ai,Provides AI powered predictive analytics for shipping companies,Funded,0,Asia & the Pacific,Singapore,QuantShip
AI Enabled Prediction,Trade Data Analytics,2018,Distant,https://freightflows.com,Provider of predictive maritime analytics for global trade,Funded,0,North America,United States,FreightFlows
AI Enabled Prediction,Trade Data Analytics,2014,Distant,https://wiremind.io,Pricing solutions for the trucking industry,Unfunded,0,Europe,France,Wiremind
AI Enabled Prediction,Demand & Supply Shortage,2017,Emerging,https://portcast.io,AI-enabled analytics platform for cargo arrival times,Seed,0,Asia & the Pacific,Singapore,Portcast
AI Enabled Prediction,Trade Data Analytics,2010,Existing,https://wnwd.com,Maritime data analytics platform,Series C,38900000,MENA,Israel,Windward
AI Enabled Prediction,Trade Data Analytics,2010,Emerging,https://portrix-ls.de,Software solutions for freight transportation,Unfunded,0,Europe,Germany,Portrix Logistic Software
AI Enabled Prediction,Demand & Supply Shortage,2017,Existing,https://freightwaves.com,Online news aggregator focused on the trucking industry,Series B,77000000,North America,United States,FreightWaves
Supply Chain Visibility,Digitized paper trail,2013,Existing,https://efreight.cn,Customs clearance solutions for cross-border eCommerce and logistics firms,Series B,2908560,Asia & the Pacific,China,eFreight
Supply Chain Visibility,E2E SC transparency,2013,Distant,https://origintrail.io,Decentralized protocol for supply chains based on blockchain,Funded,0,Europe,Slovenia,OriginTrail
Agile and adaptive logistic network,Predictive Maintinance,2016,Emerging,https://t-mining.be,Upcoming blockchain-based software for container logistics,Seed,0,Europe,Belgium,T-mining
AI Enabled Prediction,Trade Data Analytics,2018,Emerging,https://aidock.net,AI-enabled trade documentation solutions,Funded,0,MENA,Israel,AiDock
Supply Chain Visibility,Digitized paper trail,2014,Emerging,https://wavebl.com,Decentralized electronic bill of lading using the blockchain technology,Seed,0,MENA,Israel,Wave
Supply Chain Visibility,Digitized paper trail,2017,Emerging,https://cargox.io,Blockchain-Based Bill of Lading for Global Trade,Seed,0,Europe,Slovenia,CargoX
Supply Chain Visibility,Digitized paper trail,2016,Emerging,https://incodocs.com,Online platform for creation of shipping documents,Seed,915000,Asia & the Pacific,Australia,Incodocs
AI Enabled Prediction,Demand & Supply Shortage,2016,Distant,https://singular-point.com,Software solutions for maritime transportation operators,Unfunded,0,Europe,Switzerland,Singular Point
Supply Chain Visibility,E2E SC transparency,2018,Distant,https://vesselink.com,Ship management solution for maritime operators,Unfunded,0,Asia & the Pacific,China,Vesselink
Supply Chain Visibility,Real-time tracking of goods,2018,Emerging,https://shipin.ai,Provider of vessel monitoring and safety systems,Funded,0,North America,United States,ShipIn
Supply Chain Visibility,Real-time tracking of goods,2018,Distant,https://sailcompass.com,"""Provider of software management platform for vessel management, estimation and reporting""",Unfunded,0,Asia & the Pacific,Malaysia,SailCompass
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2017,Distant,https://klavenessdigital.com,AI-enabled software solutions for the maritime logistics industry,Unfunded,0,Europe,Norway,Klaveness Digital
AI Enabled Prediction,Trade Data Analytics,2010,Existing,https://cargometrics.com,Offers technology and method development for measuring maritime trade and in other fields,Series A,21890000,North America,United States,CargoMetrics
AI Enabled Prediction,Trade Data Analytics,2018,Emerging,https://maritimeoptima.com,Cloud-based management software for maritime operators,Unfunded,0,Europe,Norway,Maritime Optima
Supply Chain Visibility,Supply chain risk monitoring & mitigation,2017,Existing,https://deepsea.ai,Integrated solutions for AI-enabled vessel monitoring & management,Series A,3245690,Europe,Greece,DeepSea
Supply Chain Visibility,Real-time tracking of goods,2019,Emerging,https://traficero.com,Provider of an AI-based marine vessel tracking software,Unfunded,0,Europe,Lithuania,Traficero
